,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Место в рейтинге,Страна или регион,Баллы,ВВП на душу населения,Социальная поддержка,Ожидаемая продолжительность здоровой жизни,Свобода жизненных выборов,Щедрость,Восприятие коррупции,Баллы_new,ВВП_new
49,49.0,49.0,49.0,49.0,50,Ecuador,6.028,0.912,1.312,0.868,0.498,0.126,0.087,6.0,1.0
50,50.0,50.0,50.0,50.0,51,Kuwait,6.021,1.5,1.319,0.808,0.493,0.142,0.097,6.0,2.0
51,51.0,51.0,51.0,51.0,52,Thailand,6.008,1.05,1.409,0.828,0.557,0.359,0.028,6.0,1.0
52,52.0,52.0,52.0,52.0,53,Latvia,5.94,1.187,1.465,0.812,0.264,0.075,0.064,6.0,1.0
53,53.0,53.0,53.0,53.0,54,South Korea,5.895,1.301,1.219,1.036,0.159,0.175,0.056,6.0,1.0
54,54.0,54.0,54.0,54.0,55,Estonia,5.893,1.237,1.528,0.874,0.495,0.103,0.161,6.0,1.0
55,55.0,55.0,55.0,55.0,56,Jamaica,5.89,0.831,1.478,0.831,0.49,0.107,0.028,6.0,1.0
56,56.0,56.0,56.0,56.0,57,Mauritius,5.888,1.12,1.402,0.798,0.498,0.215,0.06,6.0,1.0
57,57.0,57.0,57.0,57.0,58,Japan,5.886,1.327,1.419,1.088,0.445,0.069,0.14,6.0,1.0
58,58.0,58.0,58.0,58.0,59,Honduras,5.86,0.642,1.236,0.828,0.507,0.246,0.078,6.0,1.0
59,59.0,59.0,59.0,59.0,60,Kazakhstan,5.809,1.173,1.508,0.729,0.41,0.146,0.096,6.0,1.0
60,60.0,60.0,60.0,60.0,61,Bolivia,5.779,0.776,1.209,0.706,0.511,0.137,0.064,6.0,1.0
61,61.0,61.0,61.0,61.0,62,Hungary,5.758,1.201,1.41,0.828,0.199,0.081,0.02,6.0,1.0
62,62.0,62.0,62.0,62.0,63,Paraguay,5.743,0.855,1.475,0.777,0.514,0.184,0.08,6.0,1.0
63,63.0,63.0,63.0,63.0,64,Northern Cyprus,5.718,1.263,1.252,1.042,0.417,0.191,0.162,6.0,1.0
64,64.0,64.0,64.0,64.0,65,Peru,5.697,0.96,1.274,0.854,0.455,0.083,0.027,6.0,1.0
65,65.0,65.0,65.0,65.0,66,Portugal,5.693,1.221,1.431,0.999,0.508,0.047,0.025,6.0,1.0
66,66.0,66.0,66.0,66.0,67,Pakistan,5.653,0.677,0.886,0.535,0.313,0.22,0.098,6.0,1.0
67,67.0,67.0,67.0,67.0,68,Russia,5.648,1.183,1.452,0.726,0.334,0.082,0.031,6.0,1.0
68,68.0,68.0,68.0,68.0,69,Philippines,5.631,0.807,1.293,0.657,0.558,0.117,0.107,6.0,1.0
69,69.0,69.0,69.0,69.0,70,Serbia,5.603,1.004,1.383,0.854,0.282,0.137,0.039,6.0,1.0
70,70.0,70.0,70.0,70.0,71,Moldova,5.529,0.685,1.328,0.739,0.245,0.181,0.0,6.0,1.0
71,71.0,71.0,71.0,71.0,72,Libya,5.525,1.044,1.303,0.673,0.416,0.133,0.152,6.0,1.0
72,72.0,72.0,72.0,72.0,73,Montenegro,5.523,1.051,1.361,0.871,0.197,0.142,0.08,6.0,1.0
73,73.0,73.0,73.0,73.0,74,Tajikistan,5.467,0.493,1.098,0.718,0.389,0.23,0.144,5.0,0.0
